n,p_star,theory_eff,gp_mean_eff,gp_std_eff,theory_profit,gp_mean_profit,lower_95_profit,upper_95_profit
2.000000000000000000e+00,8.000000000000000000e+00,8.888888888888888395e-01,9.041604612981617439e-01,1.407433262066185714e-02,6.777777777777777519e+05,7.083209225963235367e+05,6.531495387233290821e+05,7.634923064693179913e+05
3.000000000000000000e+00,6.928203230000000268e+00,8.738680163727337025e-01,8.761142783383811805e-01,1.378826794094517409e-02,9.716040491182012483e+05,9.783428350151437335e+05,8.972678195223854855e+05,1.059417850507901516e+06
4.000000000000000000e+00,5.656854250000000306e+00,8.497788951891204201e-01,8.655929309949248474e-01,1.361669215112541222e-02,1.199115580756481737e+06,1.262371723979699891e+06,1.155616857514876407e+06,1.369126590444522444e+06
5.000000000000000000e+00,4.702282020000000173e+00,8.246316130116622123e-01,8.427240620066087651e-01,1.348081205522714057e-02,1.373158065058310516e+06,1.463620310033043846e+06,1.331508351891817525e+06,1.595732268174270168e+06
6.000000000000000000e+00,4.000000000000000000e+00,8.000000000000000444e-01,8.007548607962947651e-01,1.597909947740557002e-02,1.500000000000000931e+06,1.504529164777768776e+06,1.316614954923478886e+06,1.692443374632057734e+06
7.000000000000000000e+00,3.349266650000000123e+00,7.700761805441384000e-01,7.353180910637423517e-01,1.713230613336673078e-02,1.540533263808969408e+06,1.297226637446195818e+06,1.062171397296405397e+06,1.532281877595987171e+06
8.000000000000000000e+00,3.055297770000000135e+00,7.534089833309577378e-01,6.963473384811997846e-01,1.581862056419952589e-02,1.627271866647661664e+06,1.170778707849598490e+06,9.227427374029504135e+05,1.418814678296246566e+06
9.000000000000000000e+00,2.743916679999999886e+00,7.329000387903932268e-01,6.483340425667407647e-01,1.372169657275922050e-02,1.646100349113538861e+06,8.850063831006670371e+05,6.429556555571937934e+05,1.127057110644139349e+06
1.000000000000000000e+01,2.695757019999999837e+00,7.294194411081711404e-01,6.402740006089212565e-01,1.353049024636276791e-02,1.794194411081712693e+06,9.027400060892133042e+05,6.375423972605029121e+05,1.167937614917923696e+06
