9.00000000,5.00000000
1.00000000,5.00000000
5.00000000,9.00000000
5.00000000,1.00000000
3.91421356,6.08578644
6.11068326,3.93867960
2.17157288,2.17157288
7.82842712,7.82842712
3.84422895,3.71638621
6.18897609,6.25291937
1.46820963,6.87788625
6.87788625,1.46820963
3.12211375,8.53179037
8.53179037,3.12211375
2.14437235,3.81716030
7.85562765,6.18283970
5.20996611,2.60007641
6.15787493,7.86584101
3.73018679,1.93439973
4.38455313,7.56352070
2.43647930,5.61544687
7.57387129,4.42938647
3.50279780,4.90842719
6.49720220,5.09157281
5.03926542,6.49948599
3.01075103,2.94007239
7.00714926,7.04248992
6.34648596,2.83076483
5.88674552,1.80249895
6.96969424,8.48142278
1.12740944,3.99847998
1.55348336,2.96984655
8.44651664,7.03015345
8.85452181,6.06895350
7.04077988,3.60865544
6.06895350,8.85452181
4.08729467,8.66066115
8.66066115,4.08729467
1.33933885,5.91270533
4.85623137,3.50690570
2.99763189,6.40804647
1.91861915,4.75749007
8.08138085,5.24250993
5.21561092,8.08337979
4.27557239,2.70240916
3.01462995,4.09521474
7.00837423,5.85250428
2.88032294,1.60780762
3.67033363,7.00890675
5.76408883,7.04364841
4.06621854,1.11052032
4.67691202,1.92602323
7.88076559,3.63798839
2.10931821,6.36537771
3.63798839,7.88076559
5.65224093,3.26536686
3.26536686,5.65224093
6.76699755,4.36083514
5.76323598,1.07349127
2.28190458,3.09676910
4.37938524,6.81595971
7.71809542,6.90323090
6.85550373,7.75089740
2.61151920,4.68555054
5.06306265,7.40826537
7.18181818,5.00000000
3.12056112,2.26539947
3.67033363,2.99109325
1.70314793,5.37562885
8.29685207,4.62437115
6.37749622,7.24786952
4.62437115,8.29685207
5.26034154,1.69204703
3.43707549,1.31798059
7.19842626,6.45510660
7.56879381,5.59305278
3.66948375,4.30737708
5.81468117,2.49266918
2.81435549,3.52576416
6.33522744,1.22943404
6.48799642,3.40431920
6.33067066,2.21019094
1.51445449,3.55623978
6.34819107,5.65755672
5.61010496,6.37031819
5.61566172,8.49159112
2.82822648,5.20911801
8.48608558,5.64610777
8.47281377,6.47412198
4.31125161,3.41598714
5.59305278,7.56879381
1.77349981,4.22538584
3.67771988,2.45992352
8.04077974,4.16434890
1.25539406,4.54022020
6.44376022,8.48554551
1.95922026,5.83565110
4.16434890,8.04077974
7.40726009,8.19454204
3.34093244,3.58302244
6.68354455,6.38780703
4.38433828,1.50840888
3.61471724,6.49630409
2.49266918,4.18531883
7.41770383,3.94875245
2.60101119,6.09328219
6.31305096,6.74247748
7.34928926,7.65538846
2.04743286,2.65142205
7.95256714,7.34857795
2.65142205,2.04743286
4.75301117,2.83220686
5.27202015,6.93552395
1.48978827,6.38270917
3.61729083,8.51021173
8.51021173,3.61729083
6.61079210,3.89293326
6.40094405,1.71605101
3.09178508,4.57695894
5.44797142,2.17161975
8.96107227,5.55669240
3.84917762,7.45288568
4.20001386,2.01441108
2.36524237,5.09200776
2.59307595,2.71591436
7.85829510,4.82517918
4.80024283,7.85666069
8.54329475,5.12373458
5.55669240,8.96107227
6.91530738,5.38967369
4.34244328,6.34819107
5.12373458,8.54329475
4.44330760,8.96107227
8.96107227,4.44330760
1.03892773,5.55669240
4.84534944,1.45791994
5.23819917,3.06002343
4.79315329,2.37176339
7.99909588,5.74775859
1.45468045,4.96906047
3.37960838,6.09296795
5.72155840,8.00550703
7.41770383,6.05124755
4.67750674,7.15785279
4.54718714,1.02571258
1.88419387,3.30825530
6.04918425,3.47858758
5.29905190,3.53011294
5.36159988,1.24464162
6.33051625,4.30737708
8.10092442,6.71887047
3.30825530,1.88419387
7.44642025,7.24173114
7.13801754,4.56501542
3.68177433,5.71573814
6.66449009,8.13045056
8.38136010,6.06613874
6.03659059,8.39053504
7.62994159,5.18390343
6.00889269,7.43568240
4.01554446,6.62500000
2.87876932,5.79148199
6.00745152,3.06470364
2.18897670,4.45359242
5.69262292,3.66948375
3.99303651,1.60054821
4.22341357,7.19611569
3.33707790,2.66866920
3.29169987,5.25530716
6.71046303,4.75961010
4.06070306,3.03072302
5.52462332,2.81286893
7.69019033,6.52203646
2.30980967,3.47796354
5.64610777,1.51391442
6.96100519,4.04355386
3.82442139,8.20420734
8.20420734,3.82442139
2.63045206,3.84429425
4.72979501,6.70600713
6.66652396,6.02124719
5.93262849,6.71768799
4.51062090,3.10771143
3.35155308,3.94982349
5.07496126,2.13734493
1.79579266,6.17557861
6.07529784,1.48376983
3.37244177,3.22383187
6.49850246,7.70337000
6.94517212,7.40208752
3.92121407,3.37013226
1.23646290,5.26317215
4.73682785,8.76353710
8.76353710,4.73682785
3.04664520,4.93178735
1.62807235,3.90439429
3.99713341,2.31771146
2.16086244,5.37377955
2.84501329,2.47683475
2.29237862,5.93230881
6.65830875,6.74749280
5.78824170,2.13615454
6.15082238,2.54711432
1.91097381,5.10787117
7.76047227,3.97721163
1.62325771,5.70241191
4.29758809,8.37674229
8.37674229,4.29758809
4.06769119,7.70762138
7.24133353,4.23077776
4.45186918,2.42124723
3.30295673,6.60822621
2.77453656,3.19785524
7.24110518,6.78265555
5.46159356,6.66445260
3.79717680,8.81486780
8.81486780,3.79717680
1.18513220,6.20282320
7.05477454,8.16407532
4.45984941,7.89873587
7.89873587,4.45984941
4.94883596,6.95387568
3.49484509,8.17103148
8.17103148,3.49484509
1.82031252,6.51104857
6.17391224,5.93377195
4.21625215,3.72103975
3.37180106,4.42342452
4.00947527,6.94401423
3.00071029,6.08603776
7.39799993,4.76909887
6.64117495,7.06323969
7.11715032,6.14951883
3.15300555,1.45195667
1.21792570,3.69772738
3.84256312,4.04588267
5.42327240,7.83218179
6.31359690,3.14416433
5.50007615,2.48254693
6.63801359,5.54807168
6.72567181,3.60585526
5.88491230,7.72348002
7.71565410,5.90864515
7.83218179,5.42327240
5.59256610,1.89858840
2.74373869,5.51490770
8.14602378,7.08230772
1.85397622,2.91769228
3.70965128,1.45479602
8.75877048,6.36808057
1.06076899,4.30540729
7.29118161,5.74445003
5.92191918,2.77429022
7.38262913,5.35608631
6.09370439,7.14651572
6.44888874,4.61177143
1.71411050,4.53819835
6.07341523,2.03647451
5.32881485,8.75837091
8.75837091,5.32881485
2.04414894,4.09630564
7.57325825,3.69776176
5.35608631,7.38262913
